title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
Sakura Trick,TV,12,Winter 2014,Studio Deen,4-koma manga,"Comedy, Girls Love, Romance, Slice of Life",School,PG-13 - Teens 13 or older,6.971,41132,818
Youths and Golden Coffin,ONA,26,Winter 2019,CG Year,Novel,"Action, Adventure, Mystery","Historical, Martial Arts",PG-13 - Teens 13 or older,6.971,41142,10242
I've Been Killing Slimes for 300 Years and Maxed Out My Level,TV,12,Spring 2021,Revoroot,Light novel,"Comedy, Fantasy, Slice of Life","Isekai, Reincarnation",PG-13 - Teens 13 or older,6.971,41152,658
Buddha: The Great Departure,Movie,1,Spring 2011,Toei Animation,Manga,"Drama, Supernatural","Historical, Military",R - 17+ (violence & profanity),6.971,41162,6006
To Be Hero,TV,12,Fall 2016,Haoliners Animation League,Original,Comedy,,PG-13 - Teens 13 or older,6.971,41172,2488
Little Baldy Hagemaru,TV,59,Spring 1988,Shin-Ei Animation,4-koma manga,Comedy,,PG - Children,6.971,41182,9063
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",OVA,1,Fall 2014,SILVER LINK.,Web manga,Comedy,"Otaku Culture, School",PG-13 - Teens 13 or older,6.971,41192,2008
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Special,1,Spring 2015,Lerche,Light novel,"Comedy, Romance",School,PG-13 - Teens 13 or older,6.971,41202,4159
Mahoromatic 2 End Year Special,Special,1,Winter 2003,Gainax,Manga,"Comedy, Romance, Sci-Fi, Ecchi",Military,R+ - Mild Nudity,6.961,41212,7037
Magical Girl Raising Project,TV,12,Fall 2016,Lerche,Light novel,"Action, Fantasy, Supernatural, Suspense","Mahou Shoujo, Survival",R - 17+ (violence & profanity),6.961,41222,1315
Mai-Otome Specials,Special,9,Winter 2006,Sunrise,Original,"Comedy, Drama, Fantasy",,PG-13 - Teens 13 or older,6.961,41232,6973
Massara,ONA,1,Fall 2021,Enishiya,Music,Slice of Life,Music,G - All Ages,6.961,41242,10545
Naruto: The Magic Genie and the Three Wishes,Movie,1,Summer 2010,Pierrot,Original,"Action, Comedy","Martial Arts, Super Power",PG-13 - Teens 13 or older,6.961,41252,2715
Negima!? Magister Negi Magi,TV,26,Fall 2006,"Shaft, GANSIS",Manga,"Adventure, Comedy, Fantasy, Romance, Supernatural, Ecchi","Harem, School",PG-13 - Teens 13 or older,6.961,41262,1938
Love is Like a Cocktail,TV,13,Fall 2017,Creators in Pack,Web manga,"Comedy, Gourmet, Romance, Slice of Life",,PG-13 - Teens 13 or older,6.961,41272,1044
Precure Dream Stars! Movie,Movie,1,Spring 2017,Toei Animation,Original,"Action, Comedy, Fantasy",Mahou Shoujo,G - All Ages,6.961,41282,8698
"Corpse Princess: Kuro - Even So, As a Person",Special,1,Summer 2009,Gainax,Manga,"Action, Adventure, Drama, Horror, Supernatural",,R - 17+ (violence & profanity),6.961,41292,4855
Strike Witches,TV,12,Summer 2008,Gonzo,Original,"Action, Sci-Fi, Ecchi",Military,R+ - Mild Nudity,6.961,41302,1229
Tantei Opera Milky Holmes: Summer Special,Special,1,Summer 2011,J.C.Staff,Original,"Comedy, Mystery",Super Power,PG-13 - Teens 13 or older,6.961,41312,6571
Tsukuyomi: Moon Phase,TV,25,Fall 2004,Shaft,Manga,"Comedy, Fantasy, Romance",Vampire,PG-13 - Teens 13 or older,6.961,41322,2187
Uchitama?! Have you seen my Tama?,TV,11,Winter 2020,"MAPPA, Lapin Track",Original,Slice of Life,"Iyashikei, Pets",PG-13 - Teens 13 or older,6.961,41332,4150
Before You Wake Up,ONA,1,Summer 2017,Flat Studio,Original,Drama,,PG-13 - Teens 13 or older,6.961,41342,6861
A-Channel: +A-Channel,Special,11,Spring 2011,Studio Gokumi,4-koma manga,"Comedy, Slice of Life","CGDCT, School",PG-13 - Teens 13 or older,6.961,41352,4380
Anne-Happy,TV,12,Spring 2016,SILVER LINK.,Manga,"Comedy, Slice of Life","CGDCT, School",PG-13 - Teens 13 or older,6.961,41362,2160
Blue Comet SPT Layzner,TV,38,Fall 1985,Sunrise,Original,Sci-Fi,"Mecha, Military, Space",PG-13 - Teens 13 or older,6.961,41372,6975
Beet the Vandel Buster,TV,52,Fall 2004,Toei Animation,Manga,"Adventure, Fantasy, Supernatural",,PG - Children,6.961,41382,4886
Buddy Complex: Daremo Shiranai Ashita e,ONA,1,Fall 2014,Sunrise,Original,"Action, Sci-Fi","Mecha, Time Travel",PG-13 - Teens 13 or older,6.961,41392,8618
Cardcaptor Sakura: Clear Card Recap,Special,1,Spring 2018,"None found, add some",Manga,"Adventure, Comedy, Fantasy, Romance",Mahou Shoujo,PG - Children,6.961,41402,7067
Chobits: Hibiya and Kotoko Chat,Special,1,Winter 2003,Madhouse,Manga,"Comedy, Drama, Romance, Sci-Fi, Ecchi",,PG-13 - Teens 13 or older,6.961,41412,3170
D.C.S.S. ~Da Capo Second Season~,TV,26,Summer 2005,feel.,Visual novel,"Comedy, Drama, Romance, Supernatural",Harem,PG-13 - Teens 13 or older,6.961,41422,3396
Egomama,Music,1,Winter 2012,"None found, add some",Original,,Music,G - All Ages,6.961,41432,9277
Fantastic Children: Befort no Kodomo-tachi no Sonogo,Special,1,Fall 2005,Nippon Animation,Unknown,Slice of Life,,G - All Ages,6.961,41442,10174
Fei Ren Zai 2nd Season,ONA,12,Winter 2020,Tencent Penguin Pictures,Manga,"Comedy, Slice of Life, Supernatural",,PG-13 - Teens 13 or older,6.961,41452,12539
Full Metal Panic! Movie 1: Boy Meets Girl,Movie,1,Fall 2017,Gonzo,Light novel,"Action, Comedy, Sci-Fi","Mecha, Military",R - 17+ (violence & profanity),6.961,41462,6730
Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,OVA,1,Spring 2002,Madhouse,Unknown,"Comedy, Sci-Fi",,PG-13 - Teens 13 or older,6.961,41472,8848
Inazuma Eleven Go,TV,47,Spring 2011,OLM,Game,Sports,"Super Power, Team Sports",G - All Ages,6.961,41482,2182
Inazuma Eleven Go vs. Danball Senki W Movie,Movie,1,Winter 2013,OLM,Unknown,"Action, Sports","Mecha, Team Sports",G - All Ages,6.961,41492,5236
JoJo's Bizarre Adventure: Golden Wind Recaps,Special,3,Winter 2019,David Production,Manga,"Action, Adventure",,R - 17+ (violence & profanity),6.961,41502,3138
The Jungle Book,TV,52,Fall 1989,Nippon Animation,Book,"Adventure, Drama",,G - All Ages,6.961,41512,6748
By the Grace of the Gods,TV,12,Fall 2020,Maho Film,Light novel,"Adventure, Fantasy, Slice of Life","Isekai, Iyashikei, Reincarnation",PG-13 - Teens 13 or older,6.961,41522,1300
Zenki,TV,51,Winter 1995,Studio Deen,Manga,"Action, Comedy, Drama, Fantasy, Horror, Ecchi",,PG-13 - Teens 13 or older,6.961,41532,5116
Lupin III: Seven Days Rhapsody,Special,1,Fall 2006,TMS Entertainment,Unknown,"Action, Adventure, Comedy",Adult Cast,PG-13 - Teens 13 or older,6.961,41542,7418
.hack//Sign,TV,26,Spring 2002,Bee Train,Original,"Adventure, Fantasy, Mystery, Sci-Fi",Video Game,PG-13 - Teens 13 or older,6.951,41552,1150
Batman: Gotham Knight,OVA,6,Summer 2008,"Bee Train, Production I.G, Madhouse, Studio 4°C",Other,"Action, Adventure",Martial Arts,R - 17+ (violence & profanity),6.951,41562,3680
Baumkuchen End,Music,1,Summer 2019,"None found, add some",Original,,Music,G - All Ages,6.951,41572,10636
Campione!,TV,13,Summer 2012,Diomedéa,Light novel,"Comedy, Fantasy, Romance, Ecchi",Harem,PG-13 - Teens 13 or older,6.951,41582,524
Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,ONA,24,Fall 2017,Kyoto Animation,Unknown,Comedy,,G - All Ages,6.951,41592,4549
D4DJ Petit Mix,TV,26,Winter 2021,"W-Toon Studio, DMM.futureworks",Mixed media,Comedy,Music,PG-13 - Teens 13 or older,6.951,41602,7478
Detective Conan: The Fugitive Kogorou Mouri,ONA,1,Spring 2014,TMS Entertainment,Manga,"Comedy, Mystery",,PG-13 - Teens 13 or older,6.951,41612,6726
Devil May Cry,TV,12,Summer 2007,Madhouse,Game,"Action, Fantasy","Gore, Mythology",R - 17+ (violence & profanity),6.951,41622,691
Digimon Data Squad,TV,48,Spring 2006,Toei Animation,Original,"Adventure, Comedy, Drama, Fantasy",,PG - Children,6.951,41632,2030
Doraemon the Movie: Nobita and the Knights on Dinosaurs,Movie,1,Spring 1987,Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",,PG - Children,6.951,41642,7824
Friends: Naki of Monster Island,Movie,1,Winter 2012,"None found, add some",Novel,"Comedy, Fantasy",,PG - Children,6.951,41652,11347
Girls & Panzer: Kore ga Hontou no Anzio-sen Desu! - Fushou Akiyama Yukari no Sensha Kouza,Special,1,Summer 2014,"None found, add some",Original,,"Military, School",PG-13 - Teens 13 or older,6.951,41662,8031
Gravitation,TV,13,Fall 2000,Studio Deen,Manga,"Boys Love, Comedy, Romance",Music,PG-13 - Teens 13 or older,6.951,41672,1607
Gatchaman,TV,105,Fall 1972,Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",,PG-13 - Teens 13 or older,6.951,41682,5817
Kawa no Hikari,Special,1,Summer 2009,Gallop,Unknown,Adventure,"Anthropomorphic, Iyashikei",G - All Ages,6.951,41692,10774
Everlasting Heart,ONA,1,Spring 2001,"None found, add some",Unknown,"Drama, Slice of Life",Pets,G - All Ages,6.951,41702,9191
KimiKiss Pure Rouge: Love Fighter,Special,1,Summer 2008,J.C.Staff,Visual novel,Romance,School,PG-13 - Teens 13 or older,6.951,41712,5261
Koukyoushihen Eureka Seven: Kinkyuu Tokuban Navigation ray=out,Special,1,Fall 2005,Bones,Original,Sci-Fi,Mecha,PG-13 - Teens 13 or older,6.951,41722,5257
Lupin the Third: Is Lupin Still Burning?,OVA,1,Summer 2018,TMS Entertainment,Manga,"Action, Adventure, Comedy",Adult Cast,PG-13 - Teens 13 or older,6.951,41732,7837
Lupin III: Twilight Gemini no Himitsu,Special,1,Summer 1996,"None found, add some",Unknown,"Action, Adventure, Comedy",Adult Cast,R+ - Mild Nudity,6.951,41742,6569
Macross 7 Encore,OVA,3,Winter 1996,Production Reed,Original,"Action, Comedy, Drama, Sci-Fi","Mecha, Music, Space",PG-13 - Teens 13 or older,6.951,41752,6016
Magical Princess Minky Momo,TV,63,Spring 1982,Production Reed,Original,,Mahou Shoujo,G - All Ages,6.951,41762,6403
Monochrome Factor,TV,24,Spring 2008,A.C.G.T.,Manga,"Action, Boys Love, Supernatural",,PG-13 - Teens 13 or older,6.951,41772,2512
Shinzo,TV,32,Winter 2000,Toei Animation,Original,"Adventure, Drama, Fantasy, Sci-Fi",,PG - Children,6.951,41782,4821
Nagagutsu wo Haita Neko,Movie,1,Spring 1969,Toei Animation,Other,"Adventure, Fantasy",,G - All Ages,6.951,41792,8254
The Ambition of Oda Nobuna,Special,1,Fall 2012,Madhouse,Light novel,"Comedy, Romance","Historical, Time Travel",PG-13 - Teens 13 or older,6.951,41802,5750
Oreimo 2,TV,13,Spring 2013,A-1 Pictures,Light novel,"Comedy, Romance",Otaku Culture,PG-13 - Teens 13 or older,6.951,41812,458
Oreshura,TV,13,Winter 2013,A-1 Pictures,Light novel,"Comedy, Romance","Harem, School",PG-13 - Teens 13 or older,6.951,41822,362
Otogi Zoshi: The Legend of Magatama,TV,26,Summer 2004,Production I.G,Original,"Adventure, Drama, Fantasy",Historical,PG-13 - Teens 13 or older,6.951,41832,4599
Peach Girl: Super Pop Love Hurricane,TV,25,Winter 2005,Studio Comet,Manga,"Drama, Romance, Slice of Life",School,PG-13 - Teens 13 or older,6.951,41842,1846
Pokemon: Destiny Deoxys,Movie,1,Summer 2004,OLM,Game,"Action, Adventure, Comedy, Fantasy, Sci-Fi",,PG - Children,6.951,41852,1716
Rocky Rackat!,TV,170,Spring 1993,"None found, add some",Unknown,"Comedy, Fantasy",,PG - Children,6.951,41862,12024
Release the Spyce,TV,12,Fall 2018,Lay-duce,Original,Action,School,PG-13 - Teens 13 or older,6.951,41872,2302
Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,OVA,1,Summer 2013,Project No.9,Unknown,"Comedy, Sports, Ecchi","School, Team Sports",PG-13 - Teens 13 or older,6.951,41882,4604
Rocket Girls,TV,12,Winter 2007,Mook DLE,Light novel,"Adventure, Sci-Fi",Space,PG-13 - Teens 13 or older,6.951,41892,6173
Angels of Death,TV,16,Summer 2018,J.C.Staff,Game,"Adventure, Horror, Suspense",Psychological,R - 17+ (violence & profanity),6.951,41902,312
New Fist of the North Star,OVA,3,Summer 2003,A.C.G.T.,Novel,"Action, Sci-Fi",Martial Arts,R+ - Mild Nudity,6.951,41912,4998
Shoujo☆Kageki Revue Starlight Specials,Special,3,Fall 2018,Kinema Citrus,Original,Comedy,Performing Arts,PG-13 - Teens 13 or older,6.951,41922,6502
Spriggan (ONA),ONA,6,Summer 2022,David Production,Manga,"Action, Adventure, Sci-Fi",Military,R - 17+ (violence & profanity),6.951,41932,4048
The God of High School PV,ONA,1,Spring 2016,"None found, add some",Web manga,"Action, Fantasy, Sci-Fi, Supernatural",Martial Arts,PG-13 - Teens 13 or older,6.951,41942,4115
Tribe Cool Crew,TV,50,Fall 2014,"Sunrise, Bandai Namco Pictures",Original,,"Music, Performing Arts, School",PG - Children,6.951,41952,7684
Space Pirate Captain Harlock: Riddle of the Arcadia Episode,Movie,1,Summer 1978,Toei Animation,Manga,"Action, Adventure, Drama, Sci-Fi",Space,PG-13 - Teens 13 or older,6.951,41962,7404
Urayasu Tekkin Kazoku,TV,33,Summer 1998,Studio Deen,Manga,Comedy,Gag Humor,R - 17+ (violence & profanity),6.951,41972,10056
Urusei Yatsura Movie 3: Remember My Love,Movie,1,Winter 1985,Studio Deen,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",,PG-13 - Teens 13 or older,6.951,41982,6610
VS Knight Lamune & 40 Fire,TV,26,Spring 1996,Production Reed,Original,"Action, Comedy, Fantasy",Mecha,PG-13 - Teens 13 or older,6.951,41992,9219
Sands of Destruction,TV,13,Summer 2008,Production I.G,Game,"Adventure, Fantasy",,PG-13 - Teens 13 or older,6.951,42002,2701
Rakshasa Street,ONA,7,Spring 2021,"None found, add some",Manga,"Action, Supernatural",,PG-13 - Teens 13 or older,6.951,42012,8471
Magic Tree House,Movie,1,Winter 2012,Ajia-Do,Book,Adventure,Time Travel,PG - Children,6.941,42022,6599
Negima!,TV,26,Winter 2005,Xebec,Manga,"Comedy, Fantasy, Romance, Supernatural, Ecchi","Harem, School, Super Power",PG-13 - Teens 13 or older,6.941,42032,1422
Beyblade: Metal Fury,TV,52,Spring 2011,SynergySP,Manga,"Adventure, Sports",,PG - Children,6.941,42042,3014
Future Boy Conan Movie,Movie,1,Fall 1979,Nippon Animation,Novel,"Adventure, Drama, Sci-Fi",,PG-13 - Teens 13 or older,6.941,42052,9470
Muromi-san,TV,13,Spring 2013,Tatsunoko Production,Manga,"Comedy, Fantasy, Slice of Life",,PG-13 - Teens 13 or older,6.941,42062,3055
Nekopara OVA,OVA,1,Winter 2018,Felix Film,Visual novel,"Comedy, Romance",,PG-13 - Teens 13 or older,6.941,42072,2119
Little Pollon,TV,46,Spring 1982,Kokusai Eigasha,Manga,Comedy,Parody,G - All Ages,6.941,42082,9097
One Punch Man 2nd Season Commemorative Special,Special,1,Spring 2019,J.C.Staff,Web manga,"Action, Comedy","Parody, Super Power",R - 17+ (violence & profanity),6.941,42092,2556
Overman King Gainer,TV,26,Fall 2002,Sunrise,Original,"Action, Adventure, Sci-Fi",Mecha,PG-13 - Teens 13 or older,6.941,42102,5279
Pocket Monsters: Diamond & Pearl Specials,Special,2,Winter 2011,OLM,Game,"Action, Comedy, Fantasy",,PG - Children,6.941,42112,5411
Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,OVA,1,Fall 2011,Toei Animation,Original,Fantasy,"Mahou Shoujo, Music",G - All Ages,6.941,42122,9556
Swan Lake,Movie,1,Spring 1981,Toei Animation,Unknown,"Drama, Fantasy, Romance",,G - All Ages,6.941,42132,8391
Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,Special,4,Fall 2017,Satelight,Original,"Comedy, Sci-Fi, Slice of Life","Idols (Female), Music",PG-13 - Teens 13 or older,6.941,42142,7814
"Banished From The Hero'S Party, I Decided To Live A Quiet Life In The Countryside",TV,13,Fall 2021,"Studio Flad, Wolfsbane",Light novel,"Adventure, Fantasy, Romance, Slice of Life",,PG-13 - Teens 13 or older,6.941,42152,882
Tiger Mask W,TV,38,Fall 2016,Toei Animation,Manga,"Action, Drama, Sports",Combat Sports,PG-13 - Teens 13 or older,6.941,42162,4205
UFO Ultramaiden Valkyrie 3: Bride of Celestial Souls' Day,OVA,6,Spring 2005,TNK,Manga,"Comedy, Romance, Sci-Fi",,PG-13 - Teens 13 or older,6.941,42172,6579
UQ Holder!,TV,12,Fall 2017,J.C.Staff,Manga,"Action, Fantasy, Sci-Fi",,PG-13 - Teens 13 or older,6.941,42182,1091
Xing Wushen Jue,ONA,40,Winter 2021,Ruo Hong Culture,Web novel,"Action, Fantasy",Martial Arts,PG-13 - Teens 13 or older,6.941,42192,10800
Yinhun x KFC,ONA,1,Spring 2018,Bandai Namco Pictures,Other,Comedy,,G - All Ages,6.941,42202,6895
Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,Special,1,Fall 2008,Gallop,Manga,"Fantasy, Sci-Fi",Strategy Game,PG-13 - Teens 13 or older,6.941,42212,5711
Ze Tian Ji 3rd Season,ONA,12,Summer 2017,Shanghai Foch Film and TV Culture Investment,Novel,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,6.941,42222,9211
Zone of the Enders: Dolores,TV,26,Spring 2001,Sunrise,Game,"Action, Adventure, Comedy, Sci-Fi","Mecha, Military, Space",PG-13 - Teens 13 or older,6.941,42232,5382
A-Channel,TV,12,Spring 2011,Studio Gokumi,4-koma manga,"Comedy, Slice of Life","Iyashikei, School",PG-13 - Teens 13 or older,6.941,42242,1831
The Story of Heidi,Movie,1,Spring 1979,Nippon Animation,Unknown,"Drama, Slice of Life",Historical,PG - Children,6.941,42252,7472
Back Street Girls: Gokudols,TV,10,Summer 2018,J.C.Staff,Manga,"Comedy, Ecchi","Magical Sex Shift, Organized Crime, Workplace",R - 17+ (violence & profanity),6.941,42262,1440
Binchou-tan,TV,12,Winter 2006,Studio Deen,Manga,"Comedy, Slice of Life",Iyashikei,G - All Ages,6.941,42272,5512
Hyperdimension Neptunia,TV,12,Summer 2013,David Production,Game,"Action, Comedy, Fantasy, Sci-Fi, Supernatural",Parody,PG-13 - Teens 13 or older,6.941,42282,1338
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,Movie,1,Summer 1993,Shin-Ei Animation,4-koma manga,"Action, Adventure, Comedy",,G - All Ages,6.941,42292,6422
Magical Witch Punie-Chan,OVA,4,Spring 2006,Diomedéa,Manga,"Comedy, Supernatural",Gag Humor,R - 17+ (violence & profanity),6.941,42302,3502
Brain Adventure Record Webdiver,TV,52,Spring 2001,Nippon Animation,Original,"Adventure, Sci-Fi",Mecha,PG - Children,6.941,42312,9543
El-Hazard: The Wanderers,TV,26,Fall 1995,AIC,Original,"Adventure, Comedy, Fantasy, Romance",Isekai,PG-13 - Teens 13 or older,6.941,42322,4618
Guilty Crown: 4-koma Gekijou,Special,11,Winter 2012,Production I.G,4-koma manga,Comedy,,R - 17+ (violence & profanity),6.941,42332,3857
Inazuma Eleven: Chou Jigen Dream Match,Movie,1,Summer 2014,OLM,Game,Sports,"Super Power, Team Sports",G - All Ages,6.941,42342,5700
"Iriya no Sora, UFO no Natsu",OVA,6,Winter 2005,Toei Animation,Light novel,"Drama, Romance, Sci-Fi",,R+ - Mild Nudity,6.941,42352,3889
Jintian Kaishi Zuo Mingxing,ONA,13,Winter 2020,ASK Animation Studio,Manga,"Comedy, Slice of Life","Crossdressing, Music",PG-13 - Teens 13 or older,6.941,42362,10122
Keijo!!!!!!!!,TV,12,Fall 2016,Xebec,Manga,"Sports, Ecchi",Combat Sports,PG-13 - Teens 13 or older,6.941,42372,513
Kinnikuman II Sei: Ultimate Muscle,TV,13,Spring 2004,Toei Animation,Manga,"Action, Comedy, Sci-Fi, Sports","Combat Sports, Martial Arts",PG-13 - Teens 13 or older,6.941,42382,6533
Shootfighter Tekken,OVA,3,Winter 2002,"None found, add some",Manga,Action,Martial Arts,R - 17+ (violence & profanity),6.941,42392,8105
In the Land of Leadale,TV,12,Winter 2022,Maho Film,Light novel,"Adventure, Fantasy","Isekai, Reincarnation",PG-13 - Teens 13 or older,6.941,42402,1583
Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Encore Animation,Special,1,Summer 2014,Sunrise,Original,Comedy,Idols (Female),PG-13 - Teens 13 or older,6.941,42412,7040
Spicy Girl,ONA,32,Spring 2020,"None found, add some",Manga,"Comedy, Romance",,None,6.941,42422,8252
3x3 Eyes: Legend of the Divine Demon,OVA,3,Summer 1995,Studio Junio,Manga,"Action, Adventure, Fantasy, Horror, Romance","Gore, Mythology",R - 17+ (violence & profanity),6.931,42432,4966
Aldnoah.Zero,TV,12,Winter 2015,"A-1 Pictures, TROYCA",Original,"Action, Sci-Fi","Mecha, Space",R - 17+ (violence & profanity),6.931,42442,677
Animation Runner Kuromi 2,OVA,1,Winter 2004,Yumeta Company,Original,"Comedy, Drama","Otaku Culture, Parody",PG-13 - Teens 13 or older,6.931,42452,7096
Blue Blink,TV,39,Spring 1989,Tezuka Productions,Unknown,"Adventure, Fantasy",,G - All Ages,6.931,42462,10230
Beyblade G Revolution,TV,52,Winter 2003,Nippon Animation,Manga,"Action, Adventure, Comedy, Sci-Fi, Sports",,PG - Children,6.931,42472,2840
Blade Runner: Black Out 2022,ONA,1,Fall 2017,CygamesPictures,Other,"Sci-Fi, Suspense",,R - 17+ (violence & profanity),6.931,42482,3405
Cat Shit One,ONA,1,Summer 2010,Anima,Manga,"Action, Fantasy","Anthropomorphic, Military",R - 17+ (violence & profanity),6.931,42492,3623
Cinderella,Music,1,Fall 2021,monofilmo,Original,,,PG-13 - Teens 13 or older,6.931,42502,10972
Code Geass: Lelouch of the Rebellion Picture Dramas,Special,9,Winter 2007,Sunrise,Original,"Comedy, Slice of Life",School,PG-13 - Teens 13 or older,6.931,42512,2735
Coruscate: DNA,Music,1,Winter 2022,SANZIGEN,Original,,Music,PG-13 - Teens 13 or older,6.931,42522,11543
Deadman Wonderland: The Red Knife Wielder,OVA,1,Fall 2011,Manglobe,Manga,"Action, Horror, Sci-Fi",,R - 17+ (violence & profanity),6.931,42532,1449
Devils Line: Anytime Anywhere,OVA,1,Summer 2018,Platinum Vision,Manga,"Action, Drama, Romance, Supernatural",Vampire,R - 17+ (violence & profanity),6.931,42542,4289
Ensemble Stars!,TV,24,Summer 2019,David Production,Game,,"Idols (Male), Music, School",PG-13 - Teens 13 or older,6.931,42552,2979
Fractale,TV,11,Winter 2011,"A-1 Pictures, Ordet",Original,"Adventure, Fantasy, Sci-Fi",,PG-13 - Teens 13 or older,6.931,42562,2057
Gate Keepers,TV,24,Spring 2000,Gonzo,Game,"Action, Comedy, Fantasy, Sci-Fi",Mecha,PG-13 - Teens 13 or older,6.931,42572,4170
Saiyuki Interactive,OVA,1,Fall 2002,Pierrot,Manga,"Adventure, Fantasy",Mythology,PG-13 - Teens 13 or older,6.931,42582,7863
King of Prism: Pride the Hero,Movie,1,Summer 2017,Tatsunoko Production,Original,Sports,"Idols (Male), Music",PG - Children,6.931,42592,8036
Loving Angel Angelique: Radiant Tomorrow,TV,12,Winter 2007,Satelight,Game,"Drama, Fantasy, Romance",Reverse Harem,PG-13 - Teens 13 or older,6.931,42602,5575
Ghost in the Shell: SAC_2045 Season 2,ONA,12,Spring 2022,"Production I.G, Sola Digital Arts",Manga,"Action, Sci-Fi","Adult Cast, Detective, Mecha, Military",R - 17+ (violence & profanity),6.931,42612,6441
Lupin III: Voyage to Danger,Special,1,Summer 1993,Tokyo Movie Shinsha,Unknown,"Action, Adventure, Comedy, Mystery",Adult Cast,PG-13 - Teens 13 or older,6.931,42622,6504
Lupin III: The Last Job,Special,1,Winter 2010,TMS Entertainment,Manga,"Action, Adventure, Comedy",Adult Cast,PG-13 - Teens 13 or older,6.931,42632,6512
Magician's Academy,TV,12,Fall 2008,Zexcs,Light novel,"Comedy, Fantasy, Romance, Supernatural, Ecchi","Gag Humor, School",R+ - Mild Nudity,6.931,42642,2976
Psychic School Wars,Movie,1,Fall 2012,Sunrise,Novel,"Romance, Sci-Fi",School,PG-13 - Teens 13 or older,6.931,42652,1926
Nightwalker: The Midnight Detective,TV,12,Summer 1998,AIC,Visual novel,"Action, Horror, Mystery",Vampire,R+ - Mild Nudity,6.931,42662,4393
Pita-Ten,TV,26,Spring 2002,Madhouse,Manga,"Comedy, Fantasy, Romance",School,G - All Ages,6.931,42672,4064
Punch Line,TV,12,Spring 2015,MAPPA,Original,"Comedy, Sci-Fi, Supernatural, Ecchi",Super Power,PG-13 - Teens 13 or older,6.931,42682,920
Megaman Star Force Tribe,TV,21,Fall 2007,Xebec,Game,Adventure,,PG - Children,6.931,42692,6877
Outlaw Star,Special,1,Fall 2006,Sunrise,Manga,"Action, Sci-Fi",Space,R+ - Mild Nudity,6.931,42702,6776
Sekiranun Graffiti,Music,1,Summer 2011,Studio Deen,Game,,Music,G - All Ages,6.931,42712,6732
Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear,Special,4,Fall 2015,Satelight,Original,"Comedy, Sci-Fi, Slice of Life","Idols (Female), Music",PG-13 - Teens 13 or older,6.931,42722,6832
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,OVA,1,Summer 2015,Production IMS,Light novel,"Action, Fantasy, Romance, Ecchi","Harem, Mythology",R+ - Mild Nudity,6.931,42732,1595
Sola Specials,Special,2,Fall 2007,Nomad,Manga,"Comedy, Romance, Slice of Life, Supernatural",,PG-13 - Teens 13 or older,6.931,42742,4810
Strike the Blood: Kieta Seisou-hen,OVA,1,Winter 2020,Connect,Light novel,"Action, Fantasy, Supernatural, Ecchi","Harem, Vampire",R+ - Mild Nudity,6.931,42752,3872
Brave of the Sun Fighbird,TV,48,Winter 1991,Sunrise,Unknown,"Action, Sci-Fi",Mecha,G - All Ages,6.931,42762,8682
Tennis no Ouji-sama: Best Games!!,OVA,Unknown,Summer 2018,"Tezuka Productions, M.S.C",Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,6.931,42772,8898
Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,TV,12,Spring 2015,Yaoyorozu,Original,Slice of Life,"Parody, School",PG-13 - Teens 13 or older,6.931,42782,8190
The TV Show,Music,1,,"None found, add some",Original,,Music,G - All Ages,6.931,42792,8399
A Certain Magical Index: Specials,Special,2,Winter 2009,J.C.Staff,Light novel,Comedy,Parody,PG-13 - Teens 13 or older,6.931,42802,2660
Tsugumomo OVA,OVA,1,Winter 2020,Zero-G,Manga,"Action, Comedy, Supernatural, Ecchi",School,R+ - Mild Nudity,6.931,42812,4182
Space Battleship Yamato - Final Chapter,Movie,1,Spring 1983,Toei Animation,Original,"Action, Adventure, Drama, Sci-Fi","Adult Cast, Military, Space",PG-13 - Teens 13 or older,6.931,42822,8295
UFO Ultramaiden Valkyrie 2: December Nocturne,TV,12,Fall 2003,TNK,Manga,"Comedy, Romance, Sci-Fi",,R+ - Mild Nudity,6.931,42832,5876
